,prompt,response
258,yeah my doctor said something about a pill I didn't like the taste of the gum much,well that's understandable but you should know there are new flavors that my patients say tastes better to be honest all the medications are effective it's just a matter of what you prefer you've already tried the patch there's also a nicotine lozenge a nasal spray an oral inhaler in tablet form we have bupropion which you've probably heard called zyban and there's a newer medication varenicline or chantix
259,well that's understandable but you should know there are new flavors that my patients say tastes better to be honest all the medications are effective it's just a matter of what you prefer you've already tried the patch there's also a nicotine lozenge a nasal spray an oral inhaler in tablet form we have bupropion which you've probably heard called zyban and there's a newer medication varenicline or chantix,yeah I've heard of those but I think I'd rather stick with the patch and this time I'm gonna make sure I keep it on long enough it
260,yeah I've heard of those but I think I'd rather stick with the patch and this time I'm gonna make sure I keep it on long enough it,sounds like a good choice for you and given that you have some experience with it and you know that it works for you um how many cigarettes do you smoke a day
261,sounds like a good choice for you and given that you have some experience with it and you know that it works for you um how many cigarettes do you smoke a day,about a pack a day
262,about a pack a day,okay so you'll want to start with the 21 milligram patch for six weeks and then the 14 milligram patch for two weeks and then the seven milligram patch for the last two weeks it's pretty easy to use in the morning of your quit day I want you to put one patch on a hairless part of your upper body and leave it on for 24 hours and the next morning you take that off you put another patch on in a different location you want to switch site so you don't get any skin irritation if you have trouble sleeping you can take it off before you go to bed you read the directions on the box and if you have any questions let me know
263,okay so you'll want to start with the 21 milligram patch for six weeks and then the 14 milligram patch for two weeks and then the seven milligram patch for the last two weeks it's pretty easy to use in the morning of your quit day I want you to put one patch on a hairless part of your upper body and leave it on for 24 hours and the next morning you take that off you put another patch on in a different location you want to switch site so you don't get any skin irritation if you have trouble sleeping you can take it off before you go to bed you read the directions on the box and if you have any questions let me know,okay I'm gonna try it again and read the directions and stick with it this time
264,okay I'm gonna try it again and read the directions and stick with it this time,one more thing there are two parts to smoking so there are two parts to quitting it's an addiction to nicotine and a habit the patch will take care of the physical addiction and help with the withdrawal symptoms but you'll have to make changes in your behavior if you want to stay quit for good
265,one more thing there are two parts to smoking so there are two parts to quitting it's an addiction to nicotine and a habit the patch will take care of the physical addiction and help with the withdrawal symptoms but you'll have to make changes in your behavior if you want to stay quit for good,yeah dr. Ward mentioned that to me and he gave me the card for this quitting line
266,yeah dr. Ward mentioned that to me and he gave me the card for this quitting line,that's perfect our stay quit line is excellent and convenient so let's talk about picking a quit date and we'll get you set up with a box of patches
267,that's perfect our stay quit line is excellent and convenient so let's talk about picking a quit date and we'll get you set up with a box of patches,I can I help you
268,I can I help you,yeah I hope so um my workplace is just gone smoke-free hey I'm not not very happy about it I'm going to keep smoking but I was worrying if there's anything that can help be like get through the day it's like you know go get my beer and smoke cigarettes after work
269,so your workplace just went smoke free you're not too pleased huh,no I'm not going to quit smoking oh my god I like it it helps me relax so I mean I don't see what the big deal is
270,no I'm not going to quit smoking oh my god I like it it helps me relax so I mean I don't see what the big deal is,okay tell me a little bit about how smoking fits in your day it'll help with the
271,okay tell me a little bit about how smoking fits in your day it'll help with the,I mean I suppose a little less than a pack a day it's not too bad um the I probably smoked for the last five years but I I mean I could quit if I wanted to but I don't really want to right now
272,okay so you feel like right now smoking is a pretty important part of your life it's not something you're ready to change but if the time came when you did decide to quit you feel pretty confident that you could go ahead and do that,sure I can quit
273,sure I can quit,okay what makes you so confident
274,okay what makes you so confident,well I mean I don't see why I couldn't although I have not ever tried to quit I mean it's just something that I do for fun you know I'm breaks at work in the morning and have to work
275,well I mean I don't see why I couldn't although I have not ever tried to quit I mean it's just something that I do for fun you know I'm breaks at work in the morning and have to work,mm-hmm and so in terms of a readiness to actually go ahead and make a quit attempt where do you think you fall on the scale of one to ten where one is I'm not considering it at all and ten is I'm definitely ready I want to quit
276,mm-hmm and so in terms of a readiness to actually go ahead and make a quit attempt where do you think you fall on the scale of one to ten where one is I'm not considering it at all and ten is I'm definitely ready I want to quit,I am probably - I haven't even thought about quitting and until this great announcement at work today I've been totally not gonna quit smoking
277,I am probably - I haven't even thought about quitting and until this great announcement at work today I've been totally not gonna quit smoking,okay what made you say two instead of one
278,okay what made you say two instead of one,well I mean anything's possible I mean I I guess I could maybe be convinced yeah is there something I mean I are there things I can try that would make me like want to quit smoking
279,well I mean anything's possible I mean I I guess I could maybe be convinced yeah is there something I mean I are there things I can try that would make me like want to quit smoking,well there are a lot of products available now that can actually help you curb that urge to smoke we have products that can help to replace nicotine which can help to decrease withdrawal symptoms that you might experience when quitting or cutting down and also some medications that your doctor could prescribe for you that might take away even some of the desire to smoke
280,well there are a lot of products available now that can actually help you curb that urge to smoke we have products that can help to replace nicotine which can help to decrease withdrawal symptoms that you might experience when quitting or cutting down and also some medications that your doctor could prescribe for you that might take away even some of the desire to smoke,okay well that's good information I mean I'm not gonna do anything today I just need to know my options but that's encouraging if I decided to quit smoking I do have have at least tools to help me quit
281,okay well that's good information I mean I'm not gonna do anything today I just need to know my options but that's encouraging if I decided to quit smoking I do have have at least tools to help me quit,sure and back to that skill you mentioned you said you're a - what do you think it would take to move you up to a four or five
282,sure and back to that skill you mentioned you said you're a - what do you think it would take to move you up to a four or five,I don't know I guess if my friends like if one of my friends decided like quit with me that would probably help too but I all my friends love to smoke so I don't see that happening in the near future
283,I don't know I guess if my friends like if one of my friends decided like quit with me that would probably help too but I all my friends love to smoke so I don't see that happening in the near future,sure I wonder if now that your workplace is going smoke-free if there will be some people at work who are planning to quit
284,sure I wonder if now that your workplace is going smoke-free if there will be some people at work who are planning to quit,that's a good point I hadn't really thought about that that's a good idea
285,that's a good point I hadn't really thought about that that's a good idea,okay well it sounds like you're really here just for information today I'm happy to help you pick out some of these products if and when you decide that the time is right for you
286,okay well it sounds like you're really here just for information today I'm happy to help you pick out some of these products if and when you decide that the time is right for you,okay well thanks a lot
287,okay well thanks a lot,hi I'm Andrea
288,hi I'm Andrea,until nice to meet you
289,until nice to meet you,nice to meet you so what brings you here today
290,nice to meet you so what brings you here today,well I just been feeling really stressed out lately because it's coming to the holidays and my teachers have decided to lower the class with everything these next couple weeks so it is overwhelmed with it all I had I have like feel like I have so much stuff to do and what are those personalities like for crafting a variant I can't with what I have to do and I wanted to well but I trust I'll be doing that and have the holidays I'm trying to prepare to my home Thanksgiving lots of stuff going on then and then boy is coming to visit me for Christmas
291,that's nice so hearing me say is that you're stressed with all this going on at school and preparing for the holidays that's that big it's really a lot on your plate,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal
292,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal,for sure
293,for sure,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just
294,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far
295,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you
296,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done
297,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off
298,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off,have you tried anything that might have works in past -
299,have you tried anything that might have works in past -,well we recently had fire home and we did the whole fascinating and I fasted like my computer completely I was a lot more with internet at all and to really do anything with electronics and I think that just having that goal in my mind and because it was forgotten I was able to really just not do it and I did so much homework during that week that I've ever done so maybe just really sitting at one with God could help me to better I should I should do it it's just so much easier said than done you know because we're college students who want to go have fun and we wanted to be with our friends but I mean I've had to cancel all my plans and this is why purple holidays at lunch sometime a benefit just frustrating me the teachers you know I mean I know that they did all something followed but there's just so much to do
300,it's overwhelming that getting all your stuff inside working out strategies,I think that you know girls are always overachievers and we can't just chill and like even my fans always like why don't you just relax they're plump up your deal but I'm trying to think that but I don't like it's a big deal school some things ago because I'm not really talented with my music okay dance or any of those things but so many people are into it so school is like my gift I do good and I understand it so to not feel secure and that is kind of
301,so you put a lot of pressure on yourself when I hear saying it's cool because you like that -,hey I guess it is a lot of pressure I mean I remember in high school my brother was like the good pop and he's older than me he would come back with bad grades and I would come off straight A's I'm so excited you know tell me about your day Ethan Anthony was just like give him all these pitches he did so bad the whole time I always wanted to shine [Music] maybe I do need to just relax and know that the day-to-day thing
302,hey I guess it is a lot of pressure I mean I remember in high school my brother was like the good pop and he's older than me he would come back with bad grades and I would come off straight A's I'm so excited you know tell me about your day Ethan Anthony was just like give him all these pitches he did so bad the whole time I always wanted to shine [Music] maybe I do need to just relax and know that the day-to-day thing,do you feel like you've done involve thus far the semester your classes
303,do you feel like you've done involve thus far the semester your classes,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so
304,I think I've got some of my closest I'm not sharing because we don't really get product reports in them but both classes I do you know yeah I'm doing well and but you know there's so much riding on these next few weeks I don't do well on these assignments like it could totally mess up all that work so,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good
305,so your primary concern really is for the speak you have to get done this week I remember me just said earlier about creating possibly the creating the to-do list or do you think do you think those things that you mentioned earlier would be good,probably just do it talk about it but I guess it's just nice to know that
306,probably just do it talk about it but I guess it's just nice to know that,completion with that and going the holiday do you feel like when you do how do you feel stressful week
307,completion with that and going the holiday do you feel like when you do how do you feel stressful week,toy was always really really relaxing so I think that'll be good it's kind of like a reward for getting through it but then I have I mean these goodies won't need a week and I feel like we'll be doing a lot in preparation for my boyfriend coming for Christmas so it won't be everlasting back for three more weeks of school and then like columns here and no it's like breach I mean it should be
308,so it seems like you have a lot going on this week but you seem motivated and now to complete it and you have the break to look forward to but you said it so that sounds like you you're almost there you're going to make it so it's good hearing from you [Music],I pick up a prescription
309,I pick up a prescription,okay and what's your name
310,okay and what's your name,seedorf Larry seed or
311,seedorf Larry seed or,hi mr. seed or if my name is Dave it's nice to meet you I'm your pharmacist here today
312,hi mr. seed or if my name is Dave it's nice to meet you I'm your pharmacist here today,okay
313,okay,are you picking up for yourself today or for somebody else
314,are you picking up for yourself today or for somebody else,yes for me
315,yes for me,for you great I see you have a new prescription here so what I'd like to do is take about five minutes just go over some key points about this medication how to take it and answer any questions that you might have so you're feeling comfortable with this medication that's not alright
316,for you great I see you have a new prescription here so what I'd like to do is take about five minutes just go over some key points about this medication how to take it and answer any questions that you might have so you're feeling comfortable with this medication that's not alright,yeah
317,yeah,I want you have a seat here sure so to start off I'm just going to verify your information real quick so we said your name's Larry seedorf is your date of birth let's see
318,I want you have a seat here sure so to start off I'm just going to verify your information real quick so we said your name's Larry seedorf is your date of birth let's see,129 68 okay
319,129 68 okay,and it looks like are you still on same address as before
320,and it looks like are you still on same address as before,yeah I'm pinnacle
321,yeah I'm pinnacle,pinnacle okay and I have here according your profile that you have a sensitivity of statins which is the type of medications is that correct
322,pinnacle okay and I have here according your profile that you have a sensitivity of statins which is the type of medications is that correct,yeah
323,yeah,okay and according to your profile it looks like you're taking likes in Aprill hydrochlorothiazide and simvastatin which is one of those medications
324,okay and according to your profile it looks like you're taking likes in Aprill hydrochlorothiazide and simvastatin which is one of those medications,yeah I'm not taking this instead
325,yeah I'm not taking this instead,not taking any more okay great no problem then what happened when you took the statin
326,not taking any more okay great no problem then what happened when you took the statin,uh you know I started to get a really bad pain in my legs and that's what led me to go to the doctor you ran tests and that's when he said I had sensitivity to it
327,uh you know I started to get a really bad pain in my legs and that's what led me to go to the doctor you ran tests and that's when he said I had sensitivity to it,okay well hopefully you won't have any issues like that with this one I'll be sure to go over this with you okay
328,okay well hopefully you won't have any issues like that with this one I'll be sure to go over this with you okay,okay
329,okay,so the name of this medication is gem fib Raziel it's the generic for low pay
330,so the name of this medication is gem fib Raziel it's the generic for low pay,okay
331,okay,now before I go into more detail about this medication what concerns do you have that you'd like me to address with you here today
332,now before I go into more detail about this medication what concerns do you have that you'd like me to address with you here today,honestly the the pain in my legs I'm a landscaper so it made it so that I couldn't work so I mean that's my biggest concern the doctor said you know that it would help to be on this and
333,honestly the the pain in my legs I'm a landscaper so it made it so that I couldn't work so I mean that's my biggest concern the doctor said you know that it would help to be on this and,certainly I understand that and hopefully you won't have the same issues with this one I will talk about that before I get to that though what did your doctor say this medication is used for
334,certainly I understand that and hopefully you won't have the same issues with this one I will talk about that before I get to that though what did your doctor say this medication is used for,lower cholesterol you know something about triglycerides
335,lower cholesterol you know something about triglycerides,we see this a lot with lowering cholesterol especially triglycerides which are a type of cholesterol
336,we see this a lot with lowering cholesterol especially triglycerides which are a type of cholesterol,okay
337,okay,now how did your doctor tell you that you're going to use this medication
338,now how did your doctor tell you that you're going to use this medication,twice a day
339,twice a day,twice a day so you'll take one tablet which is 600 milligrams and just like it says on here it's actually two tablets so you'll be taking a total of 1200 milligrams and you'll be doing that by mouth twice a day so the best time to take it is about a half hour before breakfast and then again a half hour before dinner if you can remember that
340,twice a day so you'll take one tablet which is 600 milligrams and just like it says on here it's actually two tablets so you'll be taking a total of 1200 milligrams and you'll be doing that by mouth twice a day so the best time to take it is about a half hour before breakfast and then again a half hour before dinner if you can remember that,yeah
341,yeah,okay okay cool
342,okay okay cool,okay now one important thing about this medication is this is in addition to diet and exercise so keep doing that healthy diets all that exercise to help lower your cholesterol as well
343,okay now one important thing about this medication is this is in addition to diet and exercise so keep doing that healthy diets all that exercise to help lower your cholesterol as well,all right okay
344,all right okay,now what side effects did your doctor tell you that this medication made cause
345,now what side effects did your doctor tell you that this medication made cause,I don't know I mean he you know he did say that hopefully would be better for my my legs right
346,I don't know I mean he you know he did say that hopefully would be better for my my legs right,hopefully it will now it's still possible it may cause that you are in kind of a high dose most people do fine on it I mean it's a different it works in a different way than the statin so if you experience that just let your doctor know but most people do do fine
347,hopefully it will now it's still possible it may cause that you are in kind of a high dose most people do fine on it I mean it's a different it works in a different way than the statin so if you experience that just let your doctor know but most people do do fine,okay
348,okay,now other side effects you might experience you might have a little bit of stomach upset if that happens just take it with food and that should help okay
349,now other side effects you might experience you might have a little bit of stomach upset if that happens just take it with food and that should help okay,okay
350,okay,as far as storing it keep it in this bottle that'll protect it from light and from moisture keep it at room temperature you know nothing fancy
351,as far as storing it keep it in this bottle that'll protect it from light and from moisture keep it at room temperature you know nothing fancy,yeah
352,yeah,and you do have three refills on here
353,and you do have three refills on here,okay
354,okay,so once you're getting low go ahead give us a call we'll be happy to get you your refill
355,so once you're getting low go ahead give us a call we'll be happy to get you your refill,okay
356,okay,all right great now I've given you a lot of information yeah just to be sure that I've explained everything how are you going to take this medicate take it
357,all right great now I've given you a lot of information yeah just to be sure that I've explained everything how are you going to take this medicate take it,what two pills twice day before meals yeah
358,what two pills twice day before meals yeah,right you've got it okay good what questions do you have for me about this medication
359,right you've got it okay good what questions do you have for me about this medication,I mean you know I mean I just hope that doesn't cause the pain I mean obviously you know it's frustrating I'm good not have any problems and then start taking medicine and starting to have problems
360,I mean you know I mean I just hope that doesn't cause the pain I mean obviously you know it's frustrating I'm good not have any problems and then start taking medicine and starting to have problems,absolutely I understand your frustration try to stick with it you know because it is important we lower your cholesterol but like I said if you start to notice any muscle pain let your doctor know there's other options he may be able to switch you and most people do do just fine on it
361,absolutely I understand your frustration try to stick with it you know because it is important we lower your cholesterol but like I said if you start to notice any muscle pain let your doctor know there's other options he may be able to switch you and most people do do just fine on it,okay sounds good
362,okay sounds good,all right great what other questions do you have for me
363,all right great what other questions do you have for me,I think that's it I think we're good
364,I think that's it I think we're good,all right very good so just to kind of summarize make sure that you kind of stick with it if you do start to notice any muscle pain make sure you report that right away
365,all right very good so just to kind of summarize make sure that you kind of stick with it if you do start to notice any muscle pain make sure you report that right away,yeah
366,yeah,take it a half hour before breakfast and again a half hour before dinner if you can but it's important just to remember to take that twice a day
367,take it a half hour before breakfast and again a half hour before dinner if you can but it's important just to remember to take that twice a day,Oh kind
368,Oh kind,of regularly great alright if anything else comes up at all our numbers right here on the bottle give us a call again my name is Dave and I'd be happy to help you any of the other pharmacists would also be willing to help you as well just in case I'm not in so go ahead and give us a call
369,of regularly great alright if anything else comes up at all our numbers right here on the bottle give us a call again my name is Dave and I'd be happy to help you any of the other pharmacists would also be willing to help you as well just in case I'm not in so go ahead and give us a call,great all right good
370,great all right good,thank you very much I really appreciate your time today
371,thank you very much I really appreciate your time today,yeah all right
372,yeah all right,thank you mr. seeders take care you
373,thank you mr. seeders take care you,there's great seeing you thank you for coming to diabetes clinic today my name is Mark Smith I'm a pharmacist I work with dr. Pham and I we run the diabetes clinic and we basically serve to educate our patients so that I can better manage their their diabetes and looking at your chart I see that you are pre-diabetic so what we're going to do now is kind of focus on nutrition mostly diet and exercise okay
374,there's great seeing you thank you for coming to diabetes clinic today my name is Mark Smith I'm a pharmacist I work with dr. Pham and I we run the diabetes clinic and we basically serve to educate our patients so that I can better manage their their diabetes and looking at your chart I see that you are pre-diabetic so what we're going to do now is kind of focus on nutrition mostly diet and exercise okay,dr. Pham already made me get a nutritionist I know what you're going to tell me so Kyle Eve
375,dr. Pham already made me get a nutritionist I know what you're going to tell me so Kyle Eve,okay okay that's fine I'm glad you had the opportunity to talk with the nutritionist I'm she's a very nice lady and she has some very valuable information do you mind telling me some of the things that she discuss with you
376,okay okay that's fine I'm glad you had the opportunity to talk with the nutritionist I'm she's a very nice lady and she has some very valuable information do you mind telling me some of the things that she discuss with you,it's the same stuff you're gonna tell me
377,it's the same stuff you're gonna tell me,okay well I will show you what I normally go through with my patients and then you can let me know if there's any information that you covered with the nutritionist or any of the material it's new to you then that would be great as well basically we feel that going over the nutrition aspect of diabetes and pre-diabetes is so important there's so much that we can do without taking medications and we've seen many patients that have benefited from making just minor changes to their diet that are greatly impacted their health in a very positive way so to start off I'm just going to ask you a few questions about what you eat to get a better picture of your diet so first what did you have for breakfast
378,okay well I will show you what I normally go through with my patients and then you can let me know if there's any information that you covered with the nutritionist or any of the material it's new to you then that would be great as well basically we feel that going over the nutrition aspect of diabetes and pre-diabetes is so important there's so much that we can do without taking medications and we've seen many patients that have benefited from making just minor changes to their diet that are greatly impacted their health in a very positive way so to start off I'm just going to ask you a few questions about what you eat to get a better picture of your diet so first what did you have for breakfast,couple eggs bacon biscuits great
379,couple eggs bacon biscuits great,okay all right and then what about lunch
380,okay all right and then what about lunch,turkey sandwiches and chips
381,turkey sandwiches and chips,okay chips and then for dinner
382,okay chips and then for dinner,spaghetti salad bread
383,spaghetti salad bread,okay spaghetti salad and bread okay so tell me then what about any snacking that you do throughout the day like any snacks or anything like that
384,okay spaghetti salad and bread okay so tell me then what about any snacking that you do throughout the day like any snacks or anything like that,I don't really snack but sometimes ice cream after dinner may be free in between meals benign occasion not very often
385,I don't really snack but sometimes ice cream after dinner may be free in between meals benign occasion not very often,okay and also what kind of beverages and things that you drink what are some of the things that you drink throughout throughout your day
386,okay and also what kind of beverages and things that you drink what are some of the things that you drink throughout throughout your day,or constant constantly feeling hydrated some thirsty so I drink sweet tea all day long
387,or constant constantly feeling hydrated some thirsty so I drink sweet tea all day long,okay okay well thanks for sharing a bit of information within this patient this kind of gives us a better idea of what you throughout the day so now I'm going to give you some information or show you some information about nutrition okay
388,okay okay well thanks for sharing a bit of information within this patient this kind of gives us a better idea of what you throughout the day so now I'm going to give you some information or show you some information about nutrition okay,all right know what you're going to say I need to eat less I've heard it all before it doesn't work for me so good
389,all right know what you're going to say I need to eat less I've heard it all before it doesn't work for me so good,okay all right so that's that's that's my ministrations but just just kind of bear with me so when I gather from your best far as that you know already you're fully aware of the things that you need to do in order to live a healthy lifestyle and take care of yourself however you seem to find it difficult and you don't think that it works for you is that that's kind of the fish that I'm getting so explain to me what are some of the barriers that you feel exists that prevents you from eating healthier and losing weight
390,okay all right so that's that's that's my ministrations but just just kind of bear with me so when I gather from your best far as that you know already you're fully aware of the things that you need to do in order to live a healthy lifestyle and take care of yourself however you seem to find it difficult and you don't think that it works for you is that that's kind of the fish that I'm getting so explain to me what are some of the barriers that you feel exists that prevents you from eating healthier and losing weight,it's mostly the money it's expensive to buy foods that are healthy and I just can't afford it consistently also like foods it tastes good I hope these stuff doesn't taste good and I just don't want it and also my kids want the good taste in food so they wouldn't even eat it if I made healthy food
391,okay okay then I understand completely that finances can be a potential issue and an issue especially when it comes to eating healthy more importantly picking out the right healthy foods for your kids to end and also to have good taste is also a priority to you so tell me about you know we're going to switch and transition from diet and talk about exercise tell me about your normal exercise routine,honestly I only have one I haven't exercised in years just don't feel like it put all the money to join again
392,honestly I only have one I haven't exercised in years just don't feel like it put all the money to join again,okay okay and then what are some of the barriers you believe that prevent you from exercising on a regular basis
393,okay okay and then what are some of the barriers you believe that prevent you from exercising on a regular basis,well kids they take a lot of time group and money like I said gym memberships or there's several close to my home but they're too expensive for me to get and I just don't have enough time the kids take a ball a day of the day and then work
394,well kids they take a lot of time group and money like I said gym memberships or there's several close to my home but they're too expensive for me to get and I just don't have enough time the kids take a ball a day of the day and then work,all right and then what what ultimate benefits let's talk about benefits what benefits that you feel that you can ultimately gain by by seeking out more nutritious foods and incorporating exercise into a daily regimen regimen and an overall losing weight what do you think would be the benefits of doing all that
395,all right and then what what ultimate benefits let's talk about benefits what benefits that you feel that you can ultimately gain by by seeking out more nutritious foods and incorporating exercise into a daily regimen regimen and an overall losing weight what do you think would be the benefits of doing all that,I guess it's good for you dr. Pham always gets mad at me and says I'm not healthy and always talks about my weight
396,I guess it's good for you dr. Pham always gets mad at me and says I'm not healthy and always talks about my weight,okay
397,okay,maybe
398,maybe,okay maybe yes yes ma'am well and and then those things are exactly correct on what I would like to do miss Fisher I know that you're pressed for time I'm not going to take too much of your time but I would like to schedule min and I and basically sit down with you and kind of go over some some helpful alternatives and basically look at some cost effective type thing since cost is an issue with you and then also look at some resources that we can channel into when it comes to exercise you'll soon find out that some of the exercises that you can do they don't even require a gym membership so you know if that's something deal at because you mentioned to me that time and money are contouring for you so we basically want to work with you together to see if we can get something that that better suits you you know and get you on the right track when it comes to your pre-diabetes and overall losing weight so would you like to come in and scheduling Pullman with us about a week from now
399,okay maybe yes yes ma'am well and and then those things are exactly correct on what I would like to do miss Fisher I know that you're pressed for time I'm not going to take too much of your time but I would like to schedule min and I and basically sit down with you and kind of go over some some helpful alternatives and basically look at some cost effective type thing since cost is an issue with you and then also look at some resources that we can channel into when it comes to exercise you'll soon find out that some of the exercises that you can do they don't even require a gym membership so you know if that's something deal at because you mentioned to me that time and money are contouring for you so we basically want to work with you together to see if we can get something that that better suits you you know and get you on the right track when it comes to your pre-diabetes and overall losing weight so would you like to come in and scheduling Pullman with us about a week from now,yeah I mean you can help me with the finances and Ty
400,yeah I mean you can help me with the finances and Ty,yes ma'am yes ma'am I believe that so what what we do is we'll schedule a week from now and but it was it was a pleasure talking with you and I very much look forward to working with you okay all right yeah we good rest of the day okay all right
401,yes ma'am yes ma'am I believe that so what what we do is we'll schedule a week from now and but it was it was a pleasure talking with you and I very much look forward to working with you okay all right yeah we good rest of the day okay all right,hi I'm Andrea
402,hi I'm Andrea,until nice to meet you
403,until nice to meet you,nice to meet you so what brings you here today
404,nice to meet you so what brings you here today,well I just been feeling really stressed out lately because it's coming to the holidays and my teachers have decided to lower the class with everything these next couple weeks so it is overwhelmed with it all I had I have like feel like I have so much stuff to do and what are those personalities like for crafting a variant I can't with what I have to do and I wanted to well but I trust I'll be doing that and have the holidays I'm trying to prepare to my home Thanksgiving lots of stuff going on then and then boy is coming to visit me for Christmas
405,that's nice so hearing me say is that you're stressed with all this going on at school and preparing for the holidays that's that big it's really a lot on your plate,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal
406,it's like if it was just the work if you find that I'm stressed about that too and I'm worried about me even think oh it sounds kind of silly but you know your boyfriend coming home for Christmas is kind of a big deal,for sure
407,for sure,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just
408,and it's like I wanted to like my family but I I'm not excited you didn't put him to be bored you know I mean that's I shouldn't even be in my mind you know I should be totally focused on school right now it's just,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far
409,so do you feel like you but obviously we're this far on this semester how well do you think you've done well thus far,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you
410,yeah actually I've been doing a lot better in this semester and I think that because of it I wanted to want to keep to move on I want to get I like I'm over a cheer instance I like skip good grades but that makes the procrastination like I'm really good at working under pressure but I can't work under pressure with this up because if I don't start doing in advance I won't get it done and I'm trying to figure out how to just balance to you,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done
411,do you think if you do what are some options that you see you may have preparing yourself to get the assignments done,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off
412,oh I guess just I've considered you know being very turning off all of my electronics of when my computer I'll need it to do the whole market and doing like a to-do list and just really disciplining myself that you know I have to do it but as soon as I get my computer and like Facebook and gave you the things that distract me I keep finding myself putting it up and putting it off,have you tried anything that might have works in past -
413,have you tried anything that might have works in past -,well we recently had fire home and we did the whole fascinating and I fasted like my computer completely I was a lot more with internet at all and to really do anything with electronics and I think that just having that goal in my mind and because it was forgotten I was able to really just not do it and I did so much homework during that week that I've ever done so maybe just really sitting at one with God could help me to better I should I should do it it's just so much easier said than done you know because we're college students who want to go have fun and we wanted to be with our friends but I mean I've had to cancel all my plans and this is why purple holidays at lunch sometime a benefit just frustrating me the teachers you know I mean I know that they did all something followed but there's just so much to do
